country;dateOfBirth;workclass;education;maritalStatus;sex;hours;savings;income;mortgage;mobile_car_sport
Germany;9/13/1977;Public;Bachelors;Separated; Male;28,5;5321;920;false;Samsung, Others, Paddle
Portugal;8/2/1983;Private;Doctorate;Married; Male;21,5;5710;1272;false;Others, Audi, Paddle
Germany;3/15/1988;Public;Bachelors;Never Married; Female;24,5;23694;2113;true;Samsung, Volkswagen, Non
Germany;11/3/1982;Unknown;High School;Married; Male;38;8967;810;true;iPhone, Others, Football
Germany;8/17/1980;Self Employed;Bachelors;Married; Male;36;30812;3537;false;Iphone, Audi, Basketball
Portugal;8/7/1979;Self Employed;High School;Divorced; Male;17;9358;1353;true;Iphone, BMW, Non
France;4/11/1976;Unknown;Bachelors;Married; Male;36,5;86260;5245;true;iPhone, Others, Basketball
Italy;11/24/1977;Self Employed;Bachelors;Married; Male;35,5;3039;576;true;iPhone, Others, Non
France;5/4/1983;Public;Masters;Married; Male;37,5;5886;1211;false;Iphone, Ford, Non
Spain;12/15/1984;Public;Doctorate;Separated; Male;29;5916;1833;false;Samsung, Others, Non
Spain;3/28/1990;Unknown;High School;Married; Male;17;9138;421;true;Samsung, Others, Basketball
Germany;2/3/1980;Self Employed;Bachelors;Never Married; Male;29,5;5975;584;true;Samsung, Others, Football
Germany;12/11/1985;Private;High School;Married; Male;28,5;30426;4012;false;Samsung, Others, Tennis
Germany;10/18/1984;Private;Bachelors;Married; Male;25;6929;1662;false;Others, Others, Non
France;4/16/1987;Private;High School;Married; Male;32;18555;718;false;Samsung, Seat, Football
Germany;1/20/1985;Private;High School;Married; Female;20;8354;1010;true;iPhone, BMW, Non
Germany;5/24/1977;Private;Bachelors;Married; Male;18;7584;1207;false;Samsung, Others, Non
Germany;9/26/1990;Private;High School;Married; Male;35;8863;853;false;Samsung, Others, Basketball
Italy;2/7/1985;Private;High School;Married; Male;35;9605;860;false;Samsung, Volkswagen, Paddle
Spain;7/6/1974;Private;High School;Never Married; Male;38,5;37873;2248;true;Samsung, Others, Basketball
Germany;4/26/1986;Public;High School;Married; Male;30;70971;4600;true;Samsung, Volkswagen, Non
Spain;8/3/1975;Private;Bachelors;Married; Female;30;6591;1284;false;iPhone, Seat, Basketball
France;6/6/1989;Unknown;Bachelors;Separated; Male;25;8510;1119;false;Others, Ford, Non
Portugal;1/7/1988;Public;Bachelors;Married; Male;23,5;9395;1343;false;iPhone, Ford, Tennis
France;3/30/1985;Public;High School;Married; Male;22;9817;1018;true;Samsung, Honda, Tennis
Spain;1/28/1986;Public;Bachelors;Married; Female;40;7507;1930;false;iPhone, BMW, Non
Portugal;1/11/1991;Self Employed;Bachelors;Married; Male;30;9690;1956;false;iPhone, Others, Non
France;3/15/1987;Self Employed;Bachelors;Married; Male;28,5;5533;903;false;Iphone, Honda, Football
Germany;7/26/1973;Public;Masters;Divorced; Female;30,5;3545;799;false;Others, Seat, Basketball
Spain;4/15/1976;Unknown;Bachelors;Married; Female;27;8933;1706;false;Iphone, Others, Non
Germany;7/22/1987;Private;High School;Married; Female;19;4526;540;true;Iphone, BMW, Non
Germany;2/22/1987;Public;Bachelors;Separated; Male;39,5;43529;2525;false;iPhone, Others, Basketball
Germany;1/21/1989;Unknown;Doctorate;Separated; Male;39,5;7089;1090;false;Iphone, Audi, Tennis
Germany;6/4/1971;Self Employed;Doctorate;Married; Male;37,5;5745;1924;true;Others, Others, Non
Portugal;4/29/1989;Self Employed;High School;Married; Male;34;8587;1630;false;Samsung, Audi, Basketball
Portugal;8/18/1981;Self Employed;High School;Separated; Male;17,5;7442;1369;false;iPhone, Others, Non
Germany;2/2/1972;Self Employed;Bachelors;Married; Male;26;25528;4345;true;iPhone, Others, Non
Germany;3/10/1978;Unknown;Bachelors;Divorced; Male;22,5;27349;6757;true;Samsung, Others, Non
Germany;9/28/1976;Private;Bachelors;Married; Male;29,5;5223;1012;false;Others, Others, Football
Germany;10/26/1988;Self Employed;Bachelors;Married; Male;20;73625;5233;false;iPhone, Volkswagen, Non
Spain;10/10/1981;Unknown;Bachelors;Married; Male;31;9976;1910;false;Iphone, Others, Non
Germany;3/13/1989;Self Employed;Bachelors;Married; Male;33;5863;1571;false;iPhone, Others, Football
Germany;11/30/1978;Private;High School;Married; Male;10;3374;341;true;iPhone, Audi, Non
France;7/14/1989;Public;Bachelors;Married; Male;21;3594;1028;false;Samsung, Others, Basketball
Spain;3/25/1971;Unknown;Bachelors;Married; Female;35,5;8817;1097;true;iPhone, Others, Basketball
Germany;9/20/1974;Public;Bachelors;Married; Female;16,5;5398;746;false;iPhone, BMW, Paddle
France;9/21/1981;Public;Bachelors;Separated; Male;38,5;6860;1923;false;Iphone, Seat, Non
Portugal;9/3/1971;Unknown;High School;Married; Male;21;3427;945;false;Others, Others, Tennis
Portugal;8/11/1976;Private;Bachelors;Married; Male;21;28701;3181;false;Others, Others, Paddle
Portugal;12/8/1986;Private;Bachelors;Never Married; Female;17;6773;1160;false;iPhone, Others, Non
France;12/9/1979;Public;Bachelors;Married; Male;22;4014;1034;false;iPhone, Audi, Basketball
Spain;1/14/1982;Unknown;Bachelors;Separated; Male;20,5;56256;5067;false;Iphone, Others, Football
Portugal;7/14/1989;Private;Bachelors;Divorced; Male;35;8758;657;false;iPhone, Others, Non
Portugal;11/12/1985;Self Employed;High School;Married; Male;39;3533;614;false;iPhone, Audi, Tennis
Germany;5/12/1989;Public;Bachelors;Never Married; Male;29;7854;1593;false;iPhone, BMW, Non
France;11/11/1985;Unknown;Bachelors;Married; Male;22;9682;1233;false;Others, Ford, Football
Portugal;5/4/1975;Self Employed;Doctorate;Never Married; Female;39,5;3013;1073;false;Samsung, Others, Non
Germany;6/5/1989;Unknown;Bachelors;Married; Male;31;6678;1877;false;Iphone, Others, Football
Germany;4/8/1970;Private;Bachelors;Married; Male;31;6958;789;false;Iphone, Honda, Basketball
Portugal;4/1/1985;Self Employed;Bachelors;Married; Male;24;6588;1992;false;Others, Honda, Paddle
Italy;10/31/1978;Unknown;High School;Married; Female;20;7794;525;false;iPhone, Others, Paddle
Germany;1/17/1981;Public;Bachelors;Married; Male;26,5;40603;5499;true;Samsung, Others, Football
Spain;11/23/1972;Self Employed;High School;Separated; Female;19,5;25804;4786;true;Samsung, Others, Football
Germany;10/27/1971;Self Employed;Bachelors;Never Married; Female;37,5;12087;618;false;Iphone, Others, Non
Spain;11/9/1978;Private;Bachelors;Married; Male;29;39199;6278;true;Samsung, Seat, Non
Spain;10/17/1986;Unknown;Bachelors;Married; Male;20,5;8417;558;true;Others, Others, Non
France;9/13/1973;Self Employed;Bachelors;Married; Male;18;28578;5449;false;iPhone, Others, Basketball
Portugal;2/28/1980;Public;Bachelors;Divorced; Female;38;7219;1034;true;Others, Ford, Football
Portugal;10/5/1984;Unknown;High School;Never Married; Male;25,5;27193;2578;false;iPhone, Others, Basketball
Spain;7/4/1987;Public;Bachelors;Married; Female;28;8283;1599;false;iPhone, Others, Non
Germany;11/20/1979;Public;Bachelors;Never Married; Female;11;6673;324;false;Samsung, Others, Non
Germany;11/15/1975;Public;Doctorate;Married; Female;39,5;4834;1492;false;iPhone, Honda, Non
France;9/28/1971;Public;Bachelors;Married; Male;20;6065;1549;false;iPhone, Others, Non
Spain;12/3/1971;Private;Masters;Married; Male;25;4213;851;true;Iphone, Others, Basketball
France;7/6/1977;Unknown;High School;Never Married; Male;18,5;9624;1823;true;Others, BMW, Paddle
France;11/24/1974;Self Employed;Masters;Married; Male;22,5;6244;1844;false;Iphone, Audi, Basketball
Italy;8/1/1979;Unknown;High School;Married; Female;37,5;8773;1188;false;Others, Honda, Non
Germany;9/14/1981;Unknown;Masters;Separated; Male;37;4926;967;false;Iphone, Others, Basketball
Germany;10/11/1975;Public;High School;Married; Male;10,5;6842;376;true;Samsung, Others, Football
Spain;6/11/1986;Private;High School;Married; Male;30;3392;1625;true;Iphone, Others, Non
Spain;4/2/1981;Self Employed;Bachelors;Divorced; Female;26;4153;1477;false;Samsung, Others, Non
Portugal;9/26/1973;Public;Bachelors;Married; Female;18;25797;6890;true;iPhone, BMW, Non
Italy;11/25/1977;Self Employed;High School;Married; Male;30;4669;1023;false;Others, Audi, Football
Spain;1/31/1982;Unknown;Bachelors;Married; Male;26;3505;1075;false;Samsung, Audi, Football
France;12/11/1980;Self Employed;High School;Married; Female;38;8166;1908;false;Samsung, Honda, Non
France;8/18/1974;Public;High School;Married; Male;33;8345;587;false;iPhone, Others, Paddle
Spain;3/11/1982;Public;Bachelors;Married; Female;30,5;4652;1097;false;Samsung, Ford, Paddle
Portugal;11/8/1980;Private;Bachelors;Married; Male;12,5;8289;318;false;Iphone, BMW, Non
Germany;9/26/1982;Private;High School;Married; Male;30,5;6613;843;false;iPhone, Others, Football
France;2/7/1973;Self Employed;Bachelors;Separated; Male;19;7525;1692;false;iPhone, Others, Non
Germany;7/28/1988;Public;Bachelors;Married; Male;17;5421;1680;true;Samsung, Audi, Non
Spain;8/24/1978;Private;Bachelors;Married; Female;18;3616;1314;true;Samsung, Audi, Non
France;6/7/1984;Public;High School;Never Married; Female;20,5;5049;662;false;iPhone, Honda, Non
Germany;7/17/1986;Self Employed;Doctorate;Married; Male;31;8679;1804;true;iPhone, BMW, Basketball
Italy;9/27/1983;Self Employed;Bachelors;Married; Male;37;4929;1590;true;iPhone, Others, Basketball
Spain;3/13/1985;Public;Bachelors;Married; Male;13,5;9264;308;true;iPhone, Others, Basketball
France;11/27/1984;Public;Doctorate;Married; Male;21;6260;1367;true;iPhone, Others, Non
Germany;4/15/1980;Self Employed;High School;Never Married; Male;25;5426;1161;true;Samsung, Volkswagen, Non
Germany;9/2/1978;Self Employed;Doctorate;Married; Female;25;7772;732;false;Others, Honda, Football
Spain;7/10/1980;Private;Masters;Married; Male;28,5;3924;1919;false;iPhone, Ford, Tennis
Spain;4/28/1978;Unknown;Doctorate;Separated; Male;19,5;96522;6953;true;iPhone, Others, Football
France;6/4/1980;Public;Bachelors;Married; Male;5;4386;333;false;iPhone, Others, Basketball
Spain;2/20/1986;Unknown;Masters;Divorced; Male;40;4495;980;true;iPhone, Volkswagen, Paddle
Italy;11/25/1981;Unknown;Bachelors;Divorced; Female;31,5;5911;717;false;iPhone, BMW, Paddle
Italy;10/9/1979;Private;High School;Married; Female;16,5;5115;1189;true;Samsung, Others, Non
France;6/13/1988;Self Employed;Bachelors;Never Married; Male;34,5;3394;640;false;iPhone, Ford, Football
Germany;2/28/1991;Unknown;Bachelors;Married; Male;31;33504;4438;true;Others, Seat, Non
Germany;10/16/1970;Private;High School;Married; Male;38;7716;1318;true;Iphone, Others, Football
France;2/3/1979;Public;Bachelors;Married; Female;23,5;3342;1773;false;Iphone, Volkswagen, Football
Italy;9/29/1976;Unknown;Bachelors;Married; Female;25;3911;723;true;iPhone, Audi, Non
France;4/24/1988;Unknown;High School;Married; Male;29;9056;916;false;iPhone, BMW, Football
Italy;9/26/1971;Self Employed;Bachelors;Divorced; Male;34,5;5824;1565;true;iPhone, Seat, Non
Italy;5/4/1983;Public;Bachelors;Married; Female;11;6482;480;true;iPhone, Seat, Non
France;3/25/1981;Public;High School;Married; Male;7,5;3677;450;false;Others, Volkswagen, Non
Spain;2/6/1977;Private;High School;Married; Male;39,5;4402;1064;false;Samsung, Others, Football
Germany;2/7/1985;Public;High School;Married; Female;17;7308;1348;true;iPhone, Others, Tennis
France;11/28/1985;Public;Bachelors;Separated; Male;29;5466;1339;false;Samsung, Others, Basketball
Spain;11/22/1980;Public;High School;Divorced; Male;30;22026;2841;true;Iphone, Others, Non
Portugal;5/23/1980;Public;Bachelors;Divorced; Male;24;4212;1514;true;Others, Audi, Football
Germany;2/9/1991;Self Employed;Bachelors;Separated; Female;32,5;7479;1988;false;iPhone, Others, Non
Germany;7/9/1976;Self Employed;Bachelors;Married; Male;17;3862;1125;false;Others, BMW, Non
Germany;8/17/1971;Self Employed;High School;Married; Female;39,5;62248;4819;false;iPhone, Others, Football
Portugal;12/16/1981;Private;Bachelors;Separated; Male;25;5570;580;true;Samsung, Others, Non
France;10/4/1983;Self Employed;High School;Married; Female;28,5;9238;992;true;Others, Volkswagen, Basketball
France;4/18/1977;Public;Masters;Divorced; Male;32;7586;553;false;Others, Others, Non
Spain;9/24/1983;Public;High School;Divorced; Female;35,5;3030;1341;false;iPhone, Others, Non
Spain;4/17/1990;Public;Bachelors;Divorced; Male;26,5;13749;1756;false;iPhone, Others, Tennis
Portugal;9/29/1985;Self Employed;Bachelors;Married; Female;19;5373;1243;false;Others, Honda, Non
Portugal;9/2/1970;Unknown;Bachelors;Separated; Female;36,5;4810;1092;false;iPhone, Others, Football
Germany;10/15/1980;Public;Bachelors;Married; Female;31,5;7191;614;true;iPhone, Others, Basketball
Portugal;5/20/1976;Self Employed;Bachelors;Married; Female;31;3664;1127;false;iPhone, Others, Tennis
France;10/22/1982;Self Employed;Bachelors;Divorced; Male;20;7962;1326;false;Samsung, Others, Non
Germany;10/7/1973;Private;High School;Married; Male;29;32910;5990;false;iPhone, Others, Basketball
Germany;11/10/1983;Unknown;Doctorate;Married; Male;40;8324;1900;false;Samsung, Volkswagen, Basketball
Germany;2/2/1988;Private;Masters;Divorced; Male;8;9167;475;false;iPhone, Honda, Non
France;11/8/1986;Unknown;Bachelors;Married; Male;39,5;18726;1256;false;Samsung, Seat, Non
Germany;3/1/1974;Public;High School;Married; Male;35;9141;1130;false;Samsung, Others, Football
Germany;1/28/1987;Unknown;Bachelors;Married; Male;26,5;6772;1804;false;iPhone, Seat, Non
Portugal;8/17/1971;Self Employed;Bachelors;Married; Female;16,5;7112;1827;false;iPhone, Volkswagen, Football
Portugal;10/4/1979;Private;Doctorate;Never Married; Female;11;8938;310;true;Iphone, Volkswagen, Non
Germany;5/23/1981;Unknown;High School;Married; Female;36,5;6448;732;false;iPhone, Others, Paddle
Portugal;10/1/1974;Private;Doctorate;Separated; Female;36,5;5398;1075;true;Samsung, Seat, Non
Germany;4/29/1987;Unknown;High School;Separated; Male;8,5;7758;457;false;iPhone, Volkswagen, Non
Spain;11/13/1972;Unknown;Bachelors;Married; Female;21,5;8410;1335;true;iPhone, Others, Tennis
Portugal;8/13/1988;Public;High School;Never Married; Male;17,5;7544;1569;false;Iphone, Volkswagen, Paddle
Germany;9/4/1972;Public;Doctorate;Married; Male;19;5343;1988;true;iPhone, Others, Non
France;2/26/1985;Public;High School;Married; Male;24,5;8094;1771;false;iPhone, Others, Non
Spain;2/17/1976;Private;Doctorate;Divorced; Female;40;5437;1900;true;Iphone, Others, Non
France;8/5/1972;Self Employed;Bachelors;Divorced; Male;33,5;5937;507;true;iPhone, Audi, Football
Portugal;6/8/1981;Unknown;High School;Married; Male;29,5;26203;2116;true;Others, Others, Non
Italy;8/10/1977;Unknown;Bachelors;Divorced; Male;40;8305;1016;true;iPhone, Audi, Non
Germany;6/27/1977;Public;High School;Separated; Male;36,5;8404;586;true;Iphone, Others, Non
Spain;7/2/1986;Private;High School;Married; Male;6,5;9221;387;false;iPhone, Honda, Basketball
Italy;12/31/1973;Unknown;Masters;Married; Female;25,5;8014;1989;false;iPhone, Audi, Football
Germany;1/14/1988;Private;Bachelors;Married; Male;37;39040;5531;true;Iphone, Honda, Non
Portugal;1/4/1983;Public;Bachelors;Divorced; Male;40;6383;1129;false;iPhone, Volkswagen, Football
France;5/25/1987;Private;Bachelors;Married; Male;30;7204;1149;true;Samsung, Others, Non
Germany;12/21/1989;Unknown;High School;Divorced; Male;19,5;9164;543;true;iPhone, Others, Non
Italy;5/1/1984;Public;High School;Married; Male;31;52279;2828;false;iPhone, Others, Non
Portugal;7/4/1987;Private;High School;Married; Female;12,5;8051;371;true;Samsung, Others, Tennis
France;9/22/1975;Public;Bachelors;Separated; Male;35;4512;1680;true;Others, Honda, Non
Spain;8/13/1986;Unknown;Bachelors;Married; Male;16,5;3376;403;false;Samsung, Volkswagen, Non
France;3/27/1983;Unknown;Doctorate;Married; Male;40;9261;1446;true;Samsung, Others, Tennis
Italy;7/18/1971;Self Employed;Masters;Never Married; Male;38;5448;1335;true;Others, Honda, Football
Spain;2/10/1972;Private;Masters;Married; Female;24;67559;2962;false;Others, Volkswagen, Non
Germany;3/29/1973;Self Employed;Bachelors;Never Married; Female;21,5;30147;6630;false;Iphone, Others, Non
Italy;2/14/1974;Public;High School;Divorced; Female;8,5;3161;318;true;Samsung, Others, Paddle
Spain;12/13/1982;Private;Bachelors;Never Married; Male;40;53698;2043;true;Samsung, BMW, Non
Germany;9/8/1984;Public;High School;Divorced; Female;26;4975;1694;true;Samsung, Others, Basketball
Portugal;10/17/1980;Self Employed;High School;Married; Male;24;5296;1321;true;Others, Honda, Non
Spain;6/18/1990;Private;High School;Separated; Male;31;5180;1460;false;Samsung, Audi, Basketball
Portugal;11/15/1982;Public;Bachelors;Married; Male;38;4906;525;true;Samsung, Seat, Non
Portugal;4/6/1973;Public;Bachelors;Married; Male;26;7700;1032;true;Samsung, Others, Non
Germany;10/11/1978;Self Employed;Doctorate;Married; Male;22;33621;3437;true;Others, Others, Tennis
Spain;10/23/1980;Unknown;Doctorate;Divorced; Male;30,5;34755;5811;false;Samsung, Others, Paddle
Germany;3/24/1972;Unknown;Bachelors;Divorced; Female;39;77636;5989;false;Iphone, Volkswagen, Non
Italy;5/22/1980;Public;High School;Married; Male;15;9494;415;false;Others, Volkswagen, Non
Spain;6/17/1979;Private;Bachelors;Married; Male;20,5;3858;1242;true;Samsung, Ford, Tennis
France;11/25/1985;Public;High School;Married; Female;24;19374;1135;true;Iphone, Others, Non
France;8/27/1974;Private;Bachelors;Separated; Male;15,5;7724;431;true;Iphone, BMW, Football
France;12/6/1985;Public;High School;Never Married; Male;17;8824;1421;true;Others, BMW, Non
Germany;3/22/1982;Private;Doctorate;Married; Female;25;35525;4842;false;iPhone, Others, Tennis
Portugal;11/20/1985;Unknown;Bachelors;Never Married; Female;14;8854;342;false;Others, BMW, Non
Spain;5/1/1973;Private;Bachelors;Married; Female;38;3256;1626;true;iPhone, Others, Football
Germany;10/20/1988;Private;Doctorate;Divorced; Male;21,5;28174;2519;false;Iphone, Ford, Tennis
Germany;1/19/1971;Unknown;Doctorate;Separated; Male;24;5802;574;false;iPhone, BMW, Non
Portugal;4/13/1985;Self Employed;Doctorate;Married; Female;15;5497;325;true;Iphone, Others, Paddle
Spain;12/21/1975;Private;High School;Married; Female;19,5;8613;1453;false;Samsung, Audi, Non
France;4/27/1988;Public;Bachelors;Never Married; Male;21,5;5823;530;false;Samsung, BMW, Basketball
Italy;6/25/1971;Public;Bachelors;Married; Male;15,5;9544;400;false;Samsung, Ford, Football
France;3/8/1975;Unknown;Bachelors;Married; Female;20;9518;1890;false;iPhone, Others, Basketball
Spain;6/5/1979;Public;Doctorate;Never Married; Male;20,5;28704;4087;false;iPhone, Honda, Basketball
Spain;8/22/1976;Public;High School;Married; Male;26;4288;726;false;Samsung, Volkswagen, Non
Germany;5/3/1979;Self Employed;Doctorate;Married; Male;17;4017;1575;false;iPhone, Others, Non
Italy;11/20/1975;Unknown;Masters;Married; Female;20,5;37330;6206;true;Iphone, Volkswagen, Non
Portugal;5/5/1980;Unknown;Bachelors;Never Married; Male;28,5;7962;1455;false;Iphone, Others, Basketball
Germany;7/30/1973;Private;Doctorate;Married; Male;16,5;4884;712;false;iPhone, Audi, Football
Germany;2/12/1979;Self Employed;Bachelors;Married; Male;37,5;7996;506;false;Others, Others, Non
France;2/11/1977;Unknown;High School;Married; Male;22,5;7609;1681;false;Samsung, Honda, Tennis
Portugal;12/18/1972;Self Employed;Bachelors;Married; Male;28,5;6075;806;false;Others, BMW, Non
Spain;5/6/1970;Unknown;Bachelors;Married; Male;24;32910;5197;false;Samsung, Seat, Tennis
France;12/24/1980;Public;Masters;Married; Male;40;8717;1389;true;iPhone, Others, Football
Spain;3/8/1986;Self Employed;Bachelors;Divorced; Female;17;3481;1319;false;Samsung, Honda, Basketball
Germany;4/29/1982;Unknown;High School;Married; Female;32,5;9498;1352;false;iPhone, Others, Basketball
Portugal;3/1/1986;Public;High School;Married; Female;22,5;34981;5332;true;iPhone, Ford, Football
Spain;5/30/1971;Self Employed;Bachelors;Married; Male;22,5;7746;1956;true;iPhone, Others, Football
Portugal;3/22/1979;Private;Bachelors;Married; Female;19,5;7321;1505;true;iPhone, BMW, Football
Spain;11/1/1987;Unknown;Bachelors;Never Married; Female;25;38530;3616;true;iPhone, Others, Basketball
Portugal;7/16/1976;Public;Doctorate;Married; Male;31;26125;6100;true;Iphone, Others, Basketball
France;10/22/1985;Self Employed;Masters;Married; Female;35;3498;650;false;iPhone, BMW, Non
Spain;11/17/1989;Private;Bachelors;Married; Male;38,5;3157;830;false;Iphone, BMW, Non
France;12/14/1987;Self Employed;High School;Married; Female;34;8641;1398;true;Samsung, Seat, Tennis
Spain;1/1/1984;Self Employed;High School;Divorced; Male;40;3872;1898;false;Iphone, Honda, Non
France;1/28/1980;Unknown;Bachelors;Married; Male;23;9019;617;true;Samsung, Others, Basketball
Portugal;4/14/1978;Unknown;Bachelors;Married; Female;26;3041;1138;true;iPhone, BMW, Football
France;9/6/1980;Public;Bachelors;Married; Male;39,5;8733;577;false;iPhone, Others, Non
Spain;7/12/1988;Public;Masters;Married; Male;21,5;4032;1471;false;iPhone, Seat, Non
Spain;1/30/1988;Private;Bachelors;Separated; Male;10;7539;493;true;iPhone, Seat, Non
Germany;8/22/1980;Unknown;High School;Married; Male;7;6011;320;false;iPhone, Others, Football
Spain;8/21/1973;Public;Bachelors;Never Married; Female;19;8017;881;false;Iphone, Others, Basketball
Portugal;2/26/1980;Private;Bachelors;Married; Male;37,5;9655;772;true;Others, Volkswagen, Football
Germany;11/20/1971;Public;Doctorate;Married; Male;19;30417;2113;true;iPhone, Others, Basketball
Portugal;4/30/1984;Self Employed;Bachelors;Married; Male;39,5;7847;575;true;Iphone, Others, Non
Spain;4/19/1970;Private;High School;Divorced; Male;30,5;10281;1649;true;Iphone, Others, Non
France;2/17/1971;Self Employed;High School;Married; Male;16,5;32178;3611;true;Samsung, BMW, Non
Portugal;4/30/1975;Self Employed;High School;Never Married; Female;15;7636;335;false;iPhone, Volkswagen, Non
Italy;11/18/1985;Unknown;Bachelors;Married; Male;20;4809;1802;true;iPhone, Volkswagen, Non
Germany;2/21/1976;Public;Masters;Married; Male;17;9876;396;false;Iphone, Others, Non
Spain;7/30/1981;Private;Bachelors;Married; Female;12,5;6993;383;false;Samsung, BMW, Non
Spain;2/12/1977;Public;Masters;Married; Female;18,5;13985;660;true;Samsung, Others, Non
Spain;5/17/1973;Private;Bachelors;Married; Female;39,5;9564;1288;false;Samsung, Ford, Paddle
France;11/9/1975;Public;Bachelors;Separated; Male;35;4335;590;false;Iphone, Seat, Tennis
France;4/19/1989;Unknown;High School;Married; Male;19;8245;707;true;iPhone, Others, Football
France;5/19/1975;Unknown;Doctorate;Married; Male;28,5;38218;6435;false;Samsung, Others, Basketball
Spain;8/20/1987;Public;Masters;Never Married; Female;22,5;9255;1331;false;Iphone, Others, Non
Portugal;5/31/1989;Unknown;High School;Married; Female;27;7544;882;false;Samsung, BMW, Football
Germany;9/2/1987;Unknown;Masters;Married; Female;23,5;4855;939;false;iPhone, Volkswagen, Tennis
Germany;2/7/1979;Unknown;High School;Separated; Male;40;6084;1897;false;iPhone, BMW, Non
Germany;12/5/1970;Unknown;Bachelors;Married; Female;16,5;78570;6525;true;iPhone, Others, Basketball
Germany;7/10/1978;Unknown;Bachelors;Married; Male;34,5;7016;1935;false;iPhone, Seat, Basketball
Germany;3/10/1972;Self Employed;Masters;Never Married; Male;28,5;3877;1900;true;iPhone, Ford, Tennis
Portugal;12/10/1981;Public;Bachelors;Never Married; Male;29,5;8284;1349;true;Samsung, Others, Basketball
Portugal;2/18/1980;Unknown;Bachelors;Married; Male;30,5;9738;1522;false;iPhone, Honda, Non
France;1/3/1987;Self Employed;High School;Married; Male;30,5;9272;1862;false;iPhone, Volkswagen, Tennis
Italy;5/18/1985;Private;Bachelors;Married; Male;17,5;7896;1029;false;iPhone, Others, Non
France;11/5/1982;Unknown;Bachelors;Married; Male;27;6338;1049;true;Others, Others, Non
Germany;3/8/1986;Self Employed;Bachelors;Married; Female;16,5;7011;691;true;iPhone, Honda, Football
Portugal;7/28/1983;Public;Bachelors;Married; Female;20,5;28447;3329;false;Others, Seat, Non
France;9/4/1984;Unknown;Doctorate;Divorced; Male;31;8958;1229;false;iPhone, Others, Paddle
Spain;7/9/1976;Unknown;High School;Married; Male;29,5;7427;1610;false;iPhone, Others, Basketball
Spain;12/16/1977;Self Employed;Masters;Married; Male;34,5;22410;2179;true;Samsung, Volkswagen, Non
Germany;2/24/1976;Unknown;Bachelors;Married; Male;39,5;4381;753;true;Iphone, Others, Non
Spain;8/2/1979;Unknown;Doctorate;Married; Female;19,5;6691;1729;true;iPhone, Others, Basketball
Germany;2/5/1988;Private;Bachelors;Separated; Male;24;8622;1270;true;Samsung, Ford, Basketball
Italy;3/7/1981;Unknown;Bachelors;Never Married; Male;24,5;5785;645;true;Samsung, Others, Football
Spain;4/22/1985;Public;Bachelors;Married; Female;19,5;3857;1996;false;Samsung, Seat, Non
Italy;11/7/1971;Unknown;Masters;Married; Female;34;8786;730;true;Others, Seat, Non
Germany;2/1/1986;Private;High School;Married; Female;20,5;9864;1243;false;Iphone, Audi, Football
Portugal;9/15/1985;Public;High School;Married; Female;38,5;4833;1080;true;iPhone, Others, Non
Portugal;12/20/1975;Private;High School;Never Married; Male;39;9094;1071;true;Others, Volkswagen, Non
